file_name,title,organization,year,topic,official_url,pdf_url,rights_status,rights_evidence_url,download_date,document_id,relative_path,file_size_bytes,file_hash,pdf_valid,page_count,text_char_count,text_hash,audit_status,canonical_file_name,duplicate_of,error,source_dataset,source_url
000000024_mnosha_poster.pdf,mnosha poster,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,e13ac9d7c35319a4,data/documents/osha/000000024_mnosha_poster.pdf,229247,e13ac9d7c35319a4c75850f20cd810f6448c66268c5225088aa2d68e80fd1c52,true,1,3707,5846a88942c7aa399781db146246b9b659702014bb650bcede8866bbce000906,canonical,000000024_mnosha_poster.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_mnosha_poster_spanish.pdf,mnosha poster spanish,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,e98479f63f27b2f7,data/documents/osha/000000024_mnosha_poster_spanish.pdf,200407,e98479f63f27b2f7a924ec4226fd40fabf2796d443e922e34700268f59f7e89d,true,1,4292,571e2899a06fa9cab1f774a28b154d8a7cf98f25b4847d9fe1868fc7e22c2d60,canonical,000000024_mnosha_poster_spanish.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_moshposterspanish.pdf,moshposterspanish,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,fb98c40ce4d98ffd,data/documents/osha/000000024_moshposterspanish.pdf,202033,fb98c40ce4d98ffd276adf7e1b1e1248c5454f9714a9e702bd2e5e9d394be594,true,1,2278,e73ee2541c985e8f7125139676b65ff22958a393588335f65ca4b582f7bf4812,canonical,000000024_moshposterspanish.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_moshprivatesectorposter.pdf,moshprivatesectorposter,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,c1d6b0ae783f6ebc,data/documents/osha/000000024_moshprivatesectorposter.pdf,460306,c1d6b0ae783f6ebc13294e676ab780034b0543ee8024314339c6334b33626ccc,true,1,5651,64a399dc8eb81df2fdcb384e2a38e8dfd2b765d2406cfd1b99ca1aa62ff04a3d,canonical,000000024_moshprivatesectorposter.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_moshpublicsectorposter.pdf,moshpublicsectorposter,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,1928c5aab3741a4e,data/documents/osha/000000024_moshpublicsectorposter.pdf,470422,1928c5aab3741a4eb0b8a02ead6275736b0158870ca715ebfc3d236efdc8075a,true,1,5626,33cfb2d680a0808591439cb87724d3b98503441cd5eae5a6d831964ac76a45b4,canonical,000000024_moshpublicsectorposter.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_right-to-know.pdf,right to know,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,ca95c663dc9128dc,data/documents/osha/000000024_right-to-know.pdf,216652,ca95c663dc9128dccd271cf63e44fcd92f4a69fee56a1e9ffdc1957c8918f7e7,true,1,7696,a01123a472fbaeca881009c3e0a229f9c8b9d7c53d7fb5fa6fed0816422fb154,canonical,000000024_right-to-know.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_shpstreng012000.pdf,shpstreng012000,OSHA and related agencies (not individually verified),2000,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,28c3d836b7570c6e,data/documents/osha/000000024_shpstreng012000.pdf,180460,28c3d836b7570c6e4bf12a5f566ca8e8fe5f0f781327a221ec612d69dc84dd9d,true,1,12041,d15d4db3c03883bbb42c957547754069c710c4d8620be886185f5c838535e62f,canonical,000000024_shpstreng012000.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_shpstrspanish012000.pdf,shpstrspanish012000,OSHA and related agencies (not individually verified),2000,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,e17a903ab3175d29,data/documents/osha/000000024_shpstrspanish012000.pdf,221909,e17a903ab3175d2915721566fc6ab9012187c19e1c5854859d6e1c72f3b12600,true,1,13672,b79de20593dfab9375521b3af6ffb62a9386ccf911a1f25739ab544f70737260,canonical,000000024_shpstrspanish012000.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_uoshaPoster.pdf,uoshaPoster,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,d00fbcd73f1e505e,data/documents/osha/000000024_uoshaPoster.pdf,144193,d00fbcd73f1e505e6e2e6ff97f56e98ad4fb115c1d76c3f72fc94fa8d6d03cc1,true,1,5323,cd87ea9d85d8766e5c6a93e6ffb5160aba577f4ae07e83d385b3732024538db4,canonical,000000024_uoshaPoster.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000024_uoshaPosterSpan.pdf,uoshaPosterSpan,OSHA and related agencies (not individually verified),,Regulations and posters,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,34d1f8d721c2a788,data/documents/osha/000000024_uoshaPosterSpan.pdf,117068,34d1f8d721c2a78826613664b26ea9a64c1d8374408caedf011e9a731dc75810,true,1,5715,48b0e1f7cc54dbb43a8df2deaee6afd415e80890336707b943ccd6386ef6bda7,canonical,000000024_uoshaPosterSpan.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
