file_name,relative_path,size_bytes,file_sha256,text_sha256,pages,characters,average_characters_per_page,likely_scanned,extraction_status,error,duplicate_type,duplicate_of,canonical_document_id,file_hash_repetitions,text_hash_repetitions
000000024_Spanish_Poster.pdf,data\documents\osha\000000024_Spanish_Poster.pdf,66655,69f27d85faf9f8d002cf230fb7d9a8811dbe5721919e58ed7c63562dfa82d496,43fa0c40eb370568b6e201e491d0eab1c844064a40752f0736379ef83e9b7468,1,7675,7675.0,False,ok,,,,a9d07ddf16e6ff16,2,2
000000024_uoshaPoster.pdf,data\documents\osha\000000024_uoshaPoster.pdf,144193,d00fbcd73f1e505e6e2e6ff97f56e98ad4fb115c1d76c3f72fc94fa8d6d03cc1,cd87ea9d85d8766e5c6a93e6ffb5160aba577f4ae07e83d385b3732024538db4,1,5469,5469.0,False,ok,,,,f8e80b8f1d12c300,2,2
000000024_uoshaPosterSpan.pdf,data\documents\osha\000000024_uoshaPosterSpan.pdf,117068,34d1f8d721c2a78826613664b26ea9a64c1d8374408caedf011e9a731dc75810,48b0e1f7cc54dbb43a8df2deaee6afd415e80890336707b943ccd6386ef6bda7,1,5879,5879.0,False,ok,,,,0add688ecbfe9f75,2,2
000000024_VIDOSHLegalNotice.pdf,data\documents\osha\000000024_VIDOSHLegalNotice.pdf,313434,41c9d7c4a35fad52a21fb918a6f7550bf2feb3a0749a22dabe99d5571a2d1463,3de776e56a6a4a21981f601f1e3ee5bc63fc925beba3de95a41f0b92ef83e4e3,2,22297,11148.5,False,ok,,,,f28393a4a50918ba,2,2
000000024_wps35.pdf,data\documents\osha\000000024_wps35.pdf,684288,a5905aa5dba656fd62e2a5f4ec91150db999974216fa59c5bf192796bf5f043d,3392eead3ce8a7b98a15e45011e9caf6521d00e7d2309b5ba8214f64636c3760,1,2708,2708.0,False,ok,,,,9df2a24b86b68176,2,2
000000072_2021-13266.pdf,data\documents\osha\000000072_2021-13266.pdf,176357,4b130e2a22f3e1a10ebcc5fd21555de9f5c422b4c30f5681950b0f7c11c7bae9,320dc9e771125d70b67e0be4d76b36ccb5c1c6f322e7015bfeb07893b8330c7e,1,6230,6230.0,False,ok,,,,a9e4851d58a9ea69,3,3
000000072_2021-13267.pdf,data\documents\osha\000000072_2021-13267.pdf,188239,a7e03b9f80efb2ba38000e73f2888d786e1f7f43edad0bbc5874178b5a9d5d7e,280ef5846f4246eb3e8c689aea85f3ca50ae3516abaed9061d51c1015823a2a9,2,12606,6303.0,False,ok,,,,f208096e5aa669fa,3,3
000000090_2024-20808.pdf,data\documents\osha\000000090_2024-20808.pdf,222844,94abce1937d0fb2f5557f9972d43bd8e4ed19177f88fc53848c9684dad215301,3a06a0c68d4f84c3540c97f44a285909f5267d96fcaac2d219e7bdc76b9d557d,2,13723,6861.5,False,ok,,,,3e5c43a5c5d43b21,2,2
000000105_2013-157.pdf,data\documents\osha\000000105_2013-157.pdf,299392,997dbdfbfa1d88d3e81d62f299a0417734343fae4761315c3e0e774b4e40d5e7,fe48b055b95ea27e40a875360eca784bd51b1aa01efa60eba5952abd95a1d3f4,7,17110,2444.29,False,ok,,,,1fbf6c6583feecc4,2,2
000000105_active_shooter_booklet.pdf,data\documents\osha\000000105_active_shooter_booklet.pdf,1008180,c823497479deccf89317e89034cd91502305494da60ad13f4cb6f7dfec11665b,28c1f635e948ed21aa334ab99d8d4aadd97dbf824a4718e041a4801175243b13,13,14670,1128.46,False,ok,,,,c30ced99bcf33a7e,2,2
000000105_amoe.pdf,data\documents\osha\000000105_amoe.pdf,1749892,8f719ce7ee9aa18c9b063c518775a1bb073e074f9d3f50b29cfcb5bd3081111c,ca16979b305ec9da62dfea45a114a9a4522c58cba202cda41bfe1895c75dbf3d,18,29388,1632.67,False,ok,,,,1c79a8c487127427,2,2
000000105_fema453.pdf,data\documents\osha\000000105_fema453.pdf,12670420,794e4d0e890408aa7bf2679dee3b8f22ccd1db6ef5d1321e8081e10d4e820c73,94f81f0d45f6dc787e8a3eac553ae44cf433d8448c8d47ec42928583e5284705,264,390361,1478.64,False,ok,,,,ae69f9af19cbdb14,2,2
000000105_fema_nrf_support-annex_worker-safety.pdf,data\documents\osha\000000105_fema_nrf_support-annex_worker-safety.pdf,79786,8bb56e5f82934d92fcf07d37c1c40d8d9ac080f9577e363d1717721cbff803ee,3b203e78060c18d18cc5c9ebf2d439ceebf413ab2a9decb9ff70773e5675c34a,8,22715,2839.38,False,ok,,,,4d8ce2a7bcdbd865,2,2
000000105_ndrf.pdf,data\documents\osha\000000105_ndrf.pdf,11053762,a888109851916475b0eb3a7ae09ccfecf60072a33293e29e593d7303d471cfc9,2c01d10d24a702efbf634160a289db6adaa420499df96a652f791d58956b9bc8,116,234131,2018.37,False,ok,,,,075ccc314935009f,2,2
000000105_shelterinplace.pdf,data\documents\osha\000000105_shelterinplace.pdf,87784,fb0113597873ea3de03d6b2bce7029e6b3fbf1f51eaf3c3e638bd9724d6d84d4,50ffc81a5712ba59239478bc8de92d25ab055621a1f31a594620a80f32b22d01,2,10347,5173.5,False,ok,,,,75fb513c11884ce3,2,2
000000114_USCODE-2011-title18-partI-chap40.pdf,data\documents\osha\000000114_USCODE-2011-title18-partI-chap40.pdf,301628,26f5b65356ed362275947c30208e91c1cd64ff2877e9dbbb5ce405a5d33e5b68,40b162da2c6d742674b236a0a86ba86f83c30b33ca8afe85192a97a143e6820c,15,101107,6740.47,False,ok,,,,bad62a22ecb32cec,4,4
000000124_CFR-2004-title40-vol26-part311.pdf,data\documents\osha\000000124_CFR-2004-title40-vol26-part311.pdf,190638,ac34975cd9daf1a3f06d560fbb5d44c93f91b9618a7b94715c3e2072a44fe292,2a42ff77c48164234e45a05a14ec835b3cea5bd9d26a7042a316423c846f1842,2,4217,2108.5,False,ok,,,,7c15706825f8e57a,6,6
000000142_11_02_21_jointsafteyaltert_chemicalwarehouse_final.pdf,data\documents\osha\000000142_11_02_21_jointsafteyaltert_chemicalwarehouse_final.pdf,381397,da97d639d8e498aa886d1c682a92b14b53e8694e2232a2f1fc215127d6f425bf,7a96128cf0a54a24b74b9d97553511007fa139c7aacf9e68849723981c5d2b02,5,16385,3277.0,False,ok,,,,0beb90ce14b70889,6,6
000000142_2011-0131-3221.pdf,data\documents\osha\000000142_2011-0131-3221.pdf,1324525,08c244f000489a6e7a1751a1724bc9eff443f35fadd4db4f7d7d137ddb6a6728,c5a774bf5ffc6fe5909498b25f228fadcff687c1d77fd8fde79644b4caa35fba,38,81541,2145.82,False,ok,,,,de04659fa9af0e11,6,6
000000160_AllianceRecommendationForFitTesting_Final.pdf,data\documents\osha\000000160_AllianceRecommendationForFitTesting_Final.pdf,45883,d838d8dd64d466924e91c5a12372de6b49d5ae4dea7e06b6bbcc6c14cc9afab0,8e86dbd93af4bfde4c9ba55b9f752b51da8701a333052fe30763e4a7e9a7414c,3,7957,2652.33,False,ok,,,,3ea3e902af6fcbd3,3,3
000000176_BeHeatSmartMediaToolkit_June2023.pdf,data\documents\osha\000000176_BeHeatSmartMediaToolkit_June2023.pdf,865517,903b210ca37d8867469b271ff4635694b742e5ad35bad0ae50312aea2e8c74ac,a5feaa3dba226b511ebc972cf3b5ad0eda7e6457d89f22409266539bac2b2e78,16,20341,1271.31,False,ok,,,,508a315f79d18a39,3,3
